ticket_id,created_at,resolved_at,department,priority,status,issue_type,reporter,assignee,title,description,duration_minutes,satisfaction_score
TKT202401010000,2024-11-23 00:00:00,,运维部,高,处理中,性能问题,user_1095,agent_2004,工单标题1,这是工单1的详细描述内容,,5.0
TKT202401010001,2024-02-14 00:00:00,,客服部,高,处理中,需求变更,user_1078,agent_2001,工单标题2,这是工单2的详细描述内容,,5.0
TKT202401010002,2024-08-02 00:00:00,2024-08-03 04:00:00,运维部,紧急,处理中,建议,user_1044,agent_2009,工单标题3,这是工单3的详细描述内容,1680.0,
TKT202401010003,2024-06-21 00:00:00,,客服部,中,已解决,其他,user_1034,agent_2002,工单标题4,这是工单4的详细描述内容,,5.0
TKT202401010004,2024-03-04 00:00:00,,运维部,中,待回访,数据错误,user_1091,agent_2003,工单标题5,这是工单5的详细描述内容,,
TKT202401010005,2024-04-26 00:00:00,2024-04-27 13:00:00,技术部,紧急,已关闭,权限问题,user_1059,agent_2012,工单标题6,这是工单6的详细描述内容,2220.0,
TKT202401010006,2024-06-30 00:00:00,2024-07-01 02:00:00,市场部,紧急,待回访,性能问题,user_1069,agent_2008,工单标题7,这是工单7的详细描述内容,1560.0,
TKT202401010007,2024-07-13 00:00:00,2024-07-14 10:00:00,市场部,高,已解决,系统故障,user_1030,agent_2002,工单标题8,这是工单8的详细描述内容,2040.0,4.0
TKT202401010008,2024-05-17 00:00:00,,人力资源,中,处理中,投诉,user_1051,agent_2015,工单标题9,这是工单9的详细描述内容,,
TKT202401010009,2024-03-12 00:00:00,2024-03-13 07:00:00,人力资源,中,待回访,建议,user_1075,agent_2013,工单标题10,这是工单10的详细描述内容,1860.0,
TKT202401010010,2024-03-11 00:00:00,2024-03-13 17:00:00,客服部,紧急,处理中,性能问题,user_1088,agent_2014,工单标题11,这是工单11的详细描述内容,3900.0,4.0
TKT202401010011,2024-07-14 00:00:00,2024-07-16 11:00:00,人力资源,紧急,待处理,需求变更,user_1097,agent_2009,工单标题12,这是工单12的详细描述内容,3540.0,3.0
TKT202401010012,2024-02-27 00:00:00,2024-02-28 13:00:00,财务部,紧急,已解决,需求变更,user_1098,agent_2006,工单标题13,这是工单13的详细描述内容,2220.0,1.0
TKT202401010013,2024-11-16 00:00:00,2024-11-17 14:00:00,人力资源,高,处理中,咨询,user_1098,agent_2006,工单标题14,这是工单14的详细描述内容,2280.0,5.0
TKT202401010014,2024-01-01 00:00:00,2024-01-02 17:00:00,客服部,中,已解决,数据错误,user_1008,agent_2008,工单标题15,这是工单15的详细描述内容,2460.0,1.0
TKT202401010015,2024-02-13 00:00:00,2024-02-15 14:00:00,人力资源,高,处理中,投诉,user_1071,agent_2006,工单标题16,这是工单16的详细描述内容,3720.0,
TKT202401010016,2024-11-06 00:00:00,2024-11-08 06:00:00,人力资源,高,已解决,建议,user_1086,agent_2012,工单标题17,这是工单17的详细描述内容,3240.0,5.0
TKT202401010017,2024-08-19 00:00:00,,客服部,中,待处理,其他,user_1071,agent_2008,工单标题18,这是工单18的详细描述内容,,1.0
TKT202401010018,2024-02-06 00:00:00,,客服部,中,待处理,需求变更,user_1031,agent_2009,工单标题19,这是工单19的详细描述内容,,2.0
TKT202401010019,2024-10-03 00:00:00,2024-10-03 16:00:00,人力资源,低,处理中,投诉,user_1053,agent_2007,工单标题20,这是工单20的详细描述内容,960.0,
TKT202401010020,2024-12-03 00:00:00,2024-12-05 07:00:00,财务部,低,待处理,功能异常,user_1008,agent_2013,工单标题21,这是工单21的详细描述内容,3300.0,1.0
TKT202401010021,2024-05-07 00:00:00,,财务部,高,已关闭,性能问题,user_1036,agent_2015,工单标题22,这是工单22的详细描述内容,,
TKT202401010022,2024-02-08 00:00:00,2024-02-10 08:00:00,人力资源,紧急,待处理,需求变更,user_1002,agent_2003,工单标题23,这是工单23的详细描述内容,3360.0,2.0
TKT202401010023,2024-03-26 00:00:00,2024-03-28 04:00:00,技术部,低,待处理,性能问题,user_1049,agent_2001,工单标题24,这是工单24的详细描述内容,3120.0,3.0
TKT202401010024,2024-08-20 00:00:00,2024-08-21 12:00:00,市场部,低,处理中,数据错误,user_1038,agent_2007,工单标题25,这是工单25的详细描述内容,2160.0,5.0
TKT202401010025,2024-10-04 00:00:00,2024-10-04 07:00:00,客服部,紧急,待回访,投诉,user_1065,agent_2017,工单标题26,这是工单26的详细描述内容,420.0,
TKT202401010026,2024-09-17 00:00:00,2024-09-17 10:00:00,客服部,紧急,处理中,建议,user_1016,agent_2019,工单标题27,这是工单27的详细描述内容,600.0,
TKT202401010027,2024-10-31 00:00:00,2024-10-31 05:00:00,财务部,中,已解决,数据错误,user_1086,agent_2011,工单标题28,这是工单28的详细描述内容,300.0,
TKT202401010028,2024-07-21 00:00:00,2024-07-21 16:00:00,运维部,低,已解决,功能异常,user_1002,agent_2015,工单标题29,这是工单29的详细描述内容,960.0,5.0
