product_id,product_name,category_l1,category_l2,cost_price,launch_date,status
P0001,耳机 标准版,电子产品,音频设备,374.16,2022-05-23,在售
P0002,耳机 升级版,电子产品,音频设备,2269.8,2023-03-09,在售
P0003,耳机 豪华版,电子产品,音频设备,241.38,2023-07-29,在售
P0004,耳机 青春版,电子产品,音频设备,1840.86,2023-08-27,在售
P0005,耳机 Pro版,电子产品,音频设备,2732.15,2023-03-09,在售
P0006,耳机 Plus版,电子产品,音频设备,563.22,2022-04-05,在售
P0007,耳机 迷你版,电子产品,音频设备,919.3,2022-02-14,在售
P0008,耳机 大容量版,电子产品,音频设备,1871.22,2023-07-20,在售
P0009,音箱 标准版,电子产品,音频设备,2049.07,2023-12-23,在售
P0010,音箱 升级版,电子产品,音频设备,2100.03,2022-08-27,缺货
P0011,音箱 豪华版,电子产品,音频设备,1035.4,2022-06-16,在售
P0012,音箱 青春版,电子产品,音频设备,521.89,2023-10-26,在售
P0013,音箱 Pro版,电子产品,音频设备,1788.93,2023-04-19,在售
P0014,音箱 Plus版,电子产品,音频设备,2929.3,2023-12-03,在售
P0015,音箱 迷你版,电子产品,音频设备,1605.92,2022-11-20,在售
P0016,音箱 大容量版,电子产品,音频设备,254.5,2022-11-19,在售
P0017,麦克风 标准版,电子产品,音频设备,1354.38,2022-09-29,在售
P0018,麦克风 升级版,电子产品,音频设备,2099.44,2023-03-15,缺货
P0019,麦克风 豪华版,电子产品,音频设备,944.18,2023-06-06,在售
P0020,麦克风 青春版,电子产品,音频设备,2495.81,2022-06-13,在售
P0021,麦克风 Pro版,电子产品,音频设备,896.66,2023-04-25,在售
P0022,麦克风 Plus版,电子产品,音频设备,3196.94,2022-04-28,在售
P0023,声卡 标准版,电子产品,音频设备,2375.3,2022-10-28,在售
P0024,声卡 升级版,电子产品,音频设备,1575.34,2022-09-27,下架
P0025,声卡 豪华版,电子产品,音频设备,2110.75,2023-10-03,在售
P0026,声卡 青春版,电子产品,音频设备,1872.07,2022-06-15,在售
P0027,声卡 Pro版,电子产品,音频设备,2182.86,2022-11-28,在售
P0028,声卡 Plus版,电子产品,音频设备,307.24,2022-11-11,在售
P0029,声卡 迷你版,电子产品,音频设备,708.38,2023-05-13,在售
P0030,播放器 标准版,电子产品,音频设备,1684.29,2023-07-17,在售
P0031,播放器 升级版,电子产品,音频设备,1549.22,2023-07-07,在售
P0032,播放器 豪华版,电子产品,音频设备,2127.02,2023-11-19,在售
P0033,播放器 青春版,电子产品,音频设备,1231.93,2022-08-19,在售
P0034,播放器 Pro版,电子产品,音频设备,87.26,2022-01-08,在售
P0035,播放器 Plus版,电子产品,音频设备,1487.58,2022-12-05,在售
P0036,播放器 迷你版,电子产品,音频设备,737.73,2022-05-16,在售
P0037,智能手机 标准版,电子产品,手机通讯,1372.47,2023-02-21,在售
P0038,智能手机 升级版,电子产品,手机通讯,280.44,2023-04-24,缺货
P0039,智能手机 豪华版,电子产品,手机通讯,189.63,2022-03-04,在售
P0040,智能手机 青春版,电子产品,手机通讯,1138.91,2022-07-14,在售
P0041,智能手机 Pro版,电子产品,手机通讯,338.51,2022-03-19,在售
P0042,智能手机 Plus版,电子产品,手机通讯,2437.65,2023-07-08,在售
P0043,智能手机 迷你版,电子产品,手机通讯,3285.51,2022-06-20,在售
P0044,老人机 标准版,电子产品,手机通讯,576.53,2023-01-24,在售
P0045,老人机 升级版,电子产品,手机通讯,1344.11,2022-10-20,在售
P0046,老人机 豪华版,电子产品,手机通讯,3345.53,2023-05-14,在售
P0047,老人机 青春版,电子产品,手机通讯,1048.84,2023-07-10,在售
P0048,老人机 Pro版,电子产品,手机通讯,665.04,2023-06-28,在售
P0049,老人机 Plus版,电子产品,手机通讯,2037.84,2023-09-02,在售
P0050,对讲机 标准版,电子产品,手机通讯,1398.19,2023-08-16,在售
P0051,对讲机 升级版,电子产品,手机通讯,1638.26,2023-06-20,在售
P0052,对讲机 豪华版,电子产品,手机通讯,805.7,2022-09-29,在售
P0053,对讲机 青春版,电子产品,手机通讯,1653.68,2022-03-16,在售
P0054,手机配件 标准版,电子产品,手机通讯,3488.8,2022-08-07,在售
P0055,手机配件 升级版,电子产品,手机通讯,356.15,2022-09-08,在售
P0056,手机配件 豪华版,电子产品,手机通讯,540.15,2023-09-19,下架
P0057,手机配件 青春版,电子产品,手机通讯,2259.95,2023-07-22,在售
P0058,手机配件 Pro版,电子产品,手机通讯,2272.56,2022-04-29,缺货
P0059,手机配件 Plus版,电子产品,手机通讯,1663.7,2022-08-04,在售
P0060,手机配件 迷你版,电子产品,手机通讯,624.39,2023-05-16,在售
P0061,笔记本电脑 标准版,电子产品,电脑办公,267.16,2022-01-04,在售
P0062,笔记本电脑 升级版,电子产品,电脑办公,484.06,2023-03-29,在售
P0063,笔记本电脑 豪华版,电子产品,电脑办公,873.11,2023-12-09,缺货
P0064,台式机 标准版,电子产品,电脑办公,116.63,2023-03-17,在售
P0065,台式机 升级版,电子产品,电脑办公,1055.36,2022-02-10,缺货
P0066,台式机 豪华版,电子产品,电脑办公,517.54,2023-07-28,缺货
P0067,台式机 青春版,电子产品,电脑办公,1208.49,2022-08-31,缺货
P0068,台式机 Pro版,电子产品,电脑办公,3140.4,2022-01-26,在售
P0069,台式机 Plus版,电子产品,电脑办公,2936.33,2023-11-17,缺货
P0070,台式机 迷你版,电子产品,电脑办公,1950.51,2022-04-21,在售
P0071,平板电脑 标准版,电子产品,电脑办公,2006.96,2023-04-17,在售
P0072,平板电脑 升级版,电子产品,电脑办公,2719.44,2023-11-07,在售
P0073,平板电脑 豪华版,电子产品,电脑办公,1104.27,2022-10-13,在售
P0074,键盘鼠标 标准版,电子产品,电脑办公,1408.41,2022-01-29,在售
P0075,键盘鼠标 升级版,电子产品,电脑办公,2201.4,2022-09-29,在售
P0076,键盘鼠标 豪华版,电子产品,电脑办公,1512.64,2023-03-23,在售
P0077,键盘鼠标 青春版,电子产品,电脑办公,1330.94,2022-09-18,在售
P0078,键盘鼠标 Pro版,电子产品,电脑办公,1227.86,2023-12-05,在售
P0079,键盘鼠标 Plus版,电子产品,电脑办公,2238.02,2022-03-13,缺货
P0080,键盘鼠标 迷你版,电子产品,电脑办公,2704.54,2022-05-08,在售
P0081,显示器 标准版,电子产品,电脑办公,1536.33,2023-12-15,在售
P0082,显示器 升级版,电子产品,电脑办公,357.81,2023-11-25,在售
P0083,显示器 豪华版,电子产品,电脑办公,520.18,2022-01-01,在售
