project_id,project_name,project_type,status,priority,start_date,end_date,budget,actual_cost,manager,team_members,progress,description
PRJ0001,项目1: 移动App开发,运维项目,进行中,中,2024-01-27,2024-05-14,101651,761116,manager_4001,15,100,项目1的详细描述
PRJ0002,项目2: 智能客服系统,运维项目,已完成,高,2024-08-20,2025-02-16,1861457,319619,manager_4010,8,41,项目2的详细描述
PRJ0003,项目3: CRM系统改造,市场项目,暂停,中,2024-05-24,2025-01-10,516698,1702352,manager_4002,16,77,项目3的详细描述
PRJ0004,项目4: CRM系统改造,市场项目,取消,高,2024-02-17,2024-08-17,482647,807146,manager_4006,10,45,项目4的详细描述
PRJ0005,项目5: 数据中台建设,内部项目,进行中,中,2024-05-24,2024-09-12,966431,889484,manager_4008,15,95,项目5的详细描述
PRJ0006,项目6: 移动App开发,内部项目,暂停,高,2024-03-05,2024-06-28,1083918,637811,manager_4011,17,75,项目6的详细描述
PRJ0007,项目7: CRM系统改造,市场项目,进行中,高,2024-01-07,2024-06-27,667077,1518466,manager_4013,8,88,项目7的详细描述
PRJ0008,项目8: 智能客服系统,内部项目,已完成,高,2024-01-23,2024-08-24,818020,606023,manager_4010,17,68,项目8的详细描述
PRJ0009,项目9: CRM系统改造,运维项目,暂停,高,2024-01-27,2024-09-05,1344750,1765723,manager_4011,15,5,项目9的详细描述
PRJ0010,项目10: 智能客服系统,客户项目,暂停,高,2024-04-06,2024-10-01,194902,227597,manager_4007,4,15,项目10的详细描述
PRJ0011,项目11: CRM系统改造,运维项目,取消,低,2024-06-27,2025-02-06,827039,388243,manager_4015,5,12,项目11的详细描述
PRJ0012,项目12: 数据中台建设,市场项目,规划中,高,2024-06-11,2024-12-01,778322,48054,manager_4011,11,27,项目12的详细描述
PRJ0013,项目13: 电商平台升级,客户项目,暂停,低,2024-08-26,2025-08-03,106099,1114056,manager_4013,19,30,项目13的详细描述
PRJ0014,项目14: 供应链优化,市场项目,已完成,低,2024-06-22,2025-04-17,1402437,1986796,manager_4004,16,33,项目14的详细描述
PRJ0015,项目15: 供应链优化,客户项目,暂停,中,2024-06-13,2024-11-24,1655428,1285406,manager_4008,18,33,项目15的详细描述
PRJ0016,项目16: 供应链优化,市场项目,进行中,低,2024-03-09,2024-10-03,1268250,1358905,manager_4001,12,27,项目16的详细描述
PRJ0017,项目17: 数据中台建设,内部项目,已完成,中,2024-07-15,2025-05-12,1130308,536487,manager_4010,18,86,项目17的详细描述
PRJ0018,项目18: 电商平台升级,内部项目,取消,低,2024-09-27,2025-04-12,1882916,904100,manager_4015,18,23,项目18的详细描述
PRJ0019,项目19: 电商平台升级,客户项目,规划中,中,2024-06-11,2024-11-07,1161364,11963,manager_4009,15,56,项目19的详细描述
PRJ0020,项目20: CRM系统改造,市场项目,规划中,高,2024-09-24,2025-08-24,1824432,1877427,manager_4010,10,86,项目20的详细描述
PRJ0021,项目21: 移动App开发,内部项目,规划中,低,2024-03-22,2024-09-13,1547136,1347441,manager_4010,7,59,项目21的详细描述
PRJ0022,项目22: 数据中台建设,内部项目,规划中,高,2024-06-21,2024-10-16,1889217,17708,manager_4012,7,93,项目22的详细描述
PRJ0023,项目23: 供应链优化,内部项目,进行中,中,2024-07-07,2025-06-15,204641,1681091,manager_4013,20,62,项目23的详细描述
PRJ0024,项目24: 电商平台升级,市场项目,进行中,高,2024-06-28,2025-03-16,137157,1180096,manager_4012,10,48,项目24的详细描述
PRJ0025,项目25: 供应链优化,研发项目,规划中,中,2024-02-09,2024-07-01,703816,1692397,manager_4007,11,13,项目25的详细描述
PRJ0026,项目26: 供应链优化,客户项目,已完成,高,2024-09-03,2024-12-22,1429451,120256,manager_4004,16,63,项目26的详细描述
PRJ0027,项目27: 电商平台升级,内部项目,取消,低,2024-06-16,2025-04-13,515849,322318,manager_4012,19,75,项目27的详细描述
PRJ0028,项目28: 电商平台升级,研发项目,暂停,高,2024-05-16,2024-07-05,1795825,397616,manager_4015,4,96,项目28的详细描述
PRJ0029,项目29: 电商平台升级,客户项目,暂停,高,2024-05-07,2025-02-09,1159449,554652,manager_4007,17,75,项目29的详细描述
PRJ0030,项目30: 移动App开发,内部项目,进行中,中,2024-01-30,2024-12-07,503290,1335826,manager_4002,16,73,项目30的详细描述
PRJ0031,项目31: CRM系统改造,客户项目,进行中,中,2024-03-14,2024-11-28,699127,867759,manager_4015,4,10,项目31的详细描述
PRJ0032,项目32: 移动App开发,客户项目,暂停,中,2024-01-23,2024-03-01,662486,108080,manager_4001,17,7,项目32的详细描述
PRJ0033,项目33: 数据中台建设,运维项目,已完成,低,2024-02-02,2024-11-20,1466804,1445066,manager_4013,15,48,项目33的详细描述
PRJ0034,项目34: 电商平台升级,内部项目,规划中,高,2024-02-06,2024-12-10,1154459,1909263,manager_4006,10,58,项目34的详细描述
PRJ0035,项目35: 移动App开发,研发项目,规划中,高,2024-01-21,2024-02-23,62941,1927738,manager_4003,7,16,项目35的详细描述
PRJ0036,项目36: 供应链优化,内部项目,取消,高,2024-02-29,2024-06-24,1882850,1979527,manager_4010,4,40,项目36的详细描述
PRJ0037,项目37: 电商平台升级,研发项目,取消,高,2024-02-19,2024-04-07,1589180,794407,manager_4010,9,34,项目37的详细描述
PRJ0038,项目38: 移动App开发,内部项目,暂停,低,2024-02-27,2024-03-30,1136664,1889527,manager_4008,5,5,项目38的详细描述
PRJ0039,项目39: 智能客服系统,市场项目,规划中,高,2024-02-26,2024-08-18,1709858,1684601,manager_4013,16,29,项目39的详细描述
PRJ0040,项目40: 数据中台建设,运维项目,已完成,高,2024-04-01,2025-02-11,1239965,799296,manager_4005,7,75,项目40的详细描述
PRJ0041,项目41: 供应链优化,内部项目,规划中,中,2024-06-17,2025-04-02,985470,305877,manager_4002,5,62,项目41的详细描述
PRJ0042,项目42: CRM系统改造,市场项目,已完成,低,2024-01-11,2024-04-29,868885,663005,manager_4006,4,20,项目42的详细描述
PRJ0043,项目43: 供应链优化,研发项目,取消,低,2024-05-21,2024-09-08,1712552,297632,manager_4015,13,33,项目43的详细描述
PRJ0044,项目44: CRM系统改造,内部项目,已完成,低,2024-09-25,2024-11-19,1805578,689302,manager_4001,8,37,项目44的详细描述
PRJ0045,项目45: 供应链优化,运维项目,暂停,高,2024-03-13,2024-08-18,564028,786010,manager_4003,10,14,项目45的详细描述
PRJ0046,项目46: CRM系统改造,市场项目,取消,中,2024-08-25,2025-08-12,1093830,1977664,manager_4002,9,19,项目46的详细描述
PRJ0047,项目47: 电商平台升级,内部项目,规划中,低,2024-01-02,2024-04-20,482764,1291030,manager_4013,7,1,项目47的详细描述
PRJ0048,项目48: 智能客服系统,内部项目,暂停,中,2024-04-30,2024-07-23,1794205,1535195,manager_4013,17,35,项目48的详细描述
PRJ0049,项目49: 数据中台建设,运维项目,取消,低,2024-06-06,2025-03-28,1075918,1163163,manager_4001,18,24,项目49的详细描述
PRJ0050,项目50: CRM系统改造,客户项目,暂停,高,2024-02-01,2024-03-24,115619,1463746,manager_4010,15,53,项目50的详细描述
