task_id,project_id,task_name,status,priority,assignee,start_date,due_date,progress,estimated_hours,actual_hours
TASK0001001,PRJ0001,任务1: 测试验证,阻塞,高,dev_5037,2024-07-12,2024-01-17,80,48,155
TASK0001002,PRJ0001,任务2: 测试验证,已完成,低,dev_5039,2024-02-05,2024-11-22,5,73,126
TASK0001003,PRJ0001,任务3: 需求分析,阻塞,中,dev_5039,2024-06-16,2024-05-11,41,136,67
TASK0001004,PRJ0001,任务4: 文档编写,已完成,中,dev_5023,2024-08-27,2024-08-24,91,38,62
TASK0001005,PRJ0001,任务5: 文档编写,阻塞,高,dev_5023,2024-04-11,2024-05-10,21,127,128
TASK0001006,PRJ0001,任务6: 文档编写,取消,高,dev_5041,2024-03-30,2024-09-23,59,63,37
TASK0001007,PRJ0001,任务7: 设计评审,阻塞,中,dev_5028,2024-06-13,2024-05-11,96,144,74
TASK0001008,PRJ0001,任务8: 设计评审,阻塞,中,dev_5050,2024-10-31,2024-05-28,54,86,87
TASK0001009,PRJ0001,任务9: 文档编写,已完成,低,dev_5004,2024-04-06,2024-01-16,92,15,39
TASK0001010,PRJ0001,任务10: 文档编写,待开始,中,dev_5015,2024-07-15,2024-07-31,41,152,75
TASK0001011,PRJ0001,任务11: 开发实现,进行中,低,dev_5036,2024-03-29,2024-04-20,17,71,78
TASK0001012,PRJ0001,任务12: 开发实现,进行中,高,dev_5023,2024-07-17,2024-08-01,65,49,33
TASK0001013,PRJ0001,任务13: 部署上线,取消,低,dev_5049,2024-07-31,2024-07-05,98,131,94
TASK0001014,PRJ0001,任务14: 开发实现,取消,低,dev_5010,2024-12-06,2024-01-03,100,64,157
TASK0001015,PRJ0001,任务15: 部署上线,待开始,高,dev_5013,2024-04-29,2024-11-21,59,109,18
TASK0001016,PRJ0001,任务16: 部署上线,待开始,中,dev_5044,2024-08-21,2024-09-03,1,33,79
TASK0001017,PRJ0001,任务17: 需求分析,待开始,高,dev_5023,2024-09-27,2024-02-25,81,105,39
TASK0002001,PRJ0002,任务1: 需求分析,已完成,高,dev_5040,2024-05-19,2024-03-23,70,26,28
TASK0002002,PRJ0002,任务2: 开发实现,取消,中,dev_5047,2024-07-26,2024-06-21,4,155,16
TASK0002003,PRJ0002,任务3: 测试验证,进行中,低,dev_5029,2024-11-22,2024-07-05,2,102,112
TASK0002004,PRJ0002,任务4: 文档编写,取消,高,dev_5008,2024-07-08,2024-02-02,4,150,23
TASK0002005,PRJ0002,任务5: 需求分析,待开始,低,dev_5038,2024-05-15,2024-05-30,28,11,9
TASK0002006,PRJ0002,任务6: 设计评审,阻塞,中,dev_5015,2024-03-11,2024-01-08,86,104,85
TASK0002007,PRJ0002,任务7: 测试验证,取消,中,dev_5010,2024-08-16,2024-11-25,52,56,141
TASK0002008,PRJ0002,任务8: 需求分析,取消,高,dev_5025,2024-04-11,2024-03-25,50,121,106
TASK0002009,PRJ0002,任务9: 文档编写,进行中,低,dev_5042,2024-02-21,2024-02-14,39,71,20
TASK0002010,PRJ0002,任务10: 文档编写,待开始,中,dev_5022,2024-04-27,2024-11-01,64,129,20
TASK0002011,PRJ0002,任务11: 开发实现,待开始,中,dev_5012,2024-08-09,2024-05-29,17,159,56
TASK0003001,PRJ0003,任务1: 测试验证,已完成,低,dev_5025,2024-02-27,2024-05-24,25,137,51
TASK0003002,PRJ0003,任务2: 文档编写,取消,低,dev_5005,2024-07-30,2024-09-11,38,42,138
TASK0003003,PRJ0003,任务3: 文档编写,取消,中,dev_5020,2024-01-27,2024-07-01,68,80,121
TASK0003004,PRJ0003,任务4: 开发实现,进行中,低,dev_5038,2024-05-29,2024-09-07,43,42,130
TASK0003005,PRJ0003,任务5: 部署上线,阻塞,高,dev_5042,2024-06-05,2024-06-19,77,125,144
TASK0004001,PRJ0004,任务1: 部署上线,取消,高,dev_5012,2024-05-27,2024-06-23,44,83,6
TASK0004002,PRJ0004,任务2: 文档编写,已完成,高,dev_5008,2024-01-11,2024-01-05,14,84,151
TASK0004003,PRJ0004,任务3: 部署上线,阻塞,高,dev_5008,2024-08-30,2024-08-16,67,90,71
TASK0004004,PRJ0004,任务4: 开发实现,进行中,低,dev_5048,2024-11-28,2024-01-17,92,96,112
TASK0004005,PRJ0004,任务5: 文档编写,取消,低,dev_5025,2024-07-15,2024-03-06,95,118,152
TASK0004006,PRJ0004,任务6: 设计评审,进行中,高,dev_5037,2024-06-22,2024-05-03,93,10,8
TASK0004007,PRJ0004,任务7: 文档编写,进行中,低,dev_5023,2024-06-28,2024-04-10,76,93,46
TASK0004008,PRJ0004,任务8: 文档编写,已完成,中,dev_5045,2024-04-15,2024-08-20,62,63,27
TASK0004009,PRJ0004,任务9: 设计评审,已完成,高,dev_5020,2024-07-04,2024-09-28,92,133,8
TASK0004010,PRJ0004,任务10: 需求分析,进行中,高,dev_5048,2024-02-29,2024-02-02,56,97,31
TASK0004011,PRJ0004,任务11: 测试验证,进行中,低,dev_5014,2024-07-05,2024-10-12,25,113,36
TASK0004012,PRJ0004,任务12: 开发实现,取消,低,dev_5012,2024-03-04,2024-06-21,11,94,109
TASK0004013,PRJ0004,任务13: 部署上线,已完成,中,dev_5015,2024-10-10,2024-09-10,70,129,17
TASK0004014,PRJ0004,任务14: 测试验证,待开始,高,dev_5021,2024-12-16,2024-11-07,27,97,131
TASK0004015,PRJ0004,任务15: 文档编写,取消,高,dev_5004,2024-06-28,2024-05-22,68,52,84
TASK0004016,PRJ0004,任务16: 测试验证,进行中,低,dev_5031,2024-04-19,2024-11-08,54,79,50
TASK0004017,PRJ0004,任务17: 文档编写,进行中,高,dev_5028,2024-02-12,2024-03-19,0,44,140
TASK0004018,PRJ0004,任务18: 测试验证,取消,低,dev_5047,2024-12-26,2024-08-31,71,83,39
TASK0004019,PRJ0004,任务19: 文档编写,阻塞,中,dev_5022,2024-02-22,2024-06-10,28,109,112
TASK0004020,PRJ0004,任务20: 设计评审,待开始,低,dev_5038,2024-08-13,2024-06-30,4,106,96
TASK0004021,PRJ0004,任务21: 部署上线,取消,高,dev_5044,2024-11-24,2024-03-06,93,147,80
TASK0004022,PRJ0004,任务22: 文档编写,阻塞,低,dev_5022,2024-10-16,2024-05-20,37,28,107
TASK0005001,PRJ0005,任务1: 部署上线,进行中,高,dev_5007,2024-02-12,2024-02-14,40,105,138
TASK0005002,PRJ0005,任务2: 开发实现,已完成,高,dev_5011,2024-07-17,2024-03-05,12,140,10
TASK0005003,PRJ0005,任务3: 测试验证,待开始,低,dev_5016,2024-07-28,2024-05-07,21,67,94
TASK0005004,PRJ0005,任务4: 文档编写,待开始,低,dev_5021,2024-03-28,2024-03-15,76,30,109
TASK0005005,PRJ0005,任务5: 开发实现,阻塞,高,dev_5013,2024-12-21,2024-02-01,56,69,158
TASK0005006,PRJ0005,任务6: 部署上线,阻塞,高,dev_5042,2024-12-09,2024-05-28,65,82,82
TASK0005007,PRJ0005,任务7: 开发实现,已完成,高,dev_5002,2024-01-03,2024-08-25,82,82,86
TASK0005008,PRJ0005,任务8: 文档编写,阻塞,低,dev_5032,2024-08-28,2024-05-28,15,83,107
TASK0005009,PRJ0005,任务9: 文档编写,已完成,高,dev_5033,2024-04-17,2024-02-19,51,70,51
TASK0005010,PRJ0005,任务10: 设计评审,已完成,高,dev_5016,2024-12-27,2024-08-09,25,18,85
TASK0005011,PRJ0005,任务11: 测试验证,已完成,中,dev_5045,2024-09-15,2024-07-13,51,22,116
TASK0005012,PRJ0005,任务12: 需求分析,进行中,中,dev_5002,2024-08-21,2024-07-14,54,117,11
TASK0005013,PRJ0005,任务13: 测试验证,取消,低,dev_5044,2024-07-01,2024-01-10,65,100,37
TASK0005014,PRJ0005,任务14: 测试验证,待开始,高,dev_5027,2024-09-19,2024-11-11,52,103,88
TASK0006001,PRJ0006,任务1: 设计评审,进行中,中,dev_5049,2024-05-10,2024-09-11,34,35,66
TASK0006002,PRJ0006,任务2: 需求分析,进行中,低,dev_5018,2024-01-08,2024-12-11,96,74,50
